description,statusesCount,followersCount,favoritesCount,friendsCount,name,type,screenName,location,lang
"Discover amazing @BBC TV, Radio and Kids shows and programmes available on BBC iPlayer. Tech help: https://t.co/sLZmW1cztp",50348,690495,14982,4615,BBC iPlayer,bis,BBCiPlayer,"Mobiles, Tablets, Desktop, TV",en
"Piloto de fábrica McLaren GT e WEC LMP2 pela Rebellion Racing
McLaren GT Factory Driver and WEC LMP2 driver with Rebellion Racing",3113,750703,1275,195,Bruno Senna,celeb,BSenna,Monaco,en
2017 FIA FORMULA E WORLD CHAMPION <ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00B7><U+00A7><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7>,6576,193961,4744,9116,LUCAS DI GRASSI,,LucasdiGrassi,Monaco,en
Founding Chairman of @Montreal_AI // #Leader in #ArtificialIntelligence SOLVING Humanity’s Toughest Challenges. #AI #DeepLearning #MontrealAI #SuperIntelligence,112358,452393,78065,321762,Vincent Boucher <ed><U+00A0><U+00BD><ed><U+00B5><U+008A>,celeb,ceobillionaire,Montreal | Menlo Park | Paris,en
USA Today bestselling author of the Vigilante Series with over 600K served. Proud supporter of pizza.,291605,604094,8,523567,Claude Bouchard,celeb,ceebee308,"Montreal, Canada",en
#Twitter Thinker-Abouter #Consultant-at-Large #Writer #Editor #Actor #Screenwriter #startups #art #writing #books #animals #coffee #Inspiration #motivation,112302,125236,59199,106914,Roberto Blizzard,,VeganYogaDude,"Montreal, QC, Canada",en-gb
Moteur économique de #Montréal en #IA // Supergrappe #IntelligenceArtificielle #MontrealAI // Filière de talents #AI #ArtificialIntelligence <U+2709><U+FE0F> info@montreal.ai,93223,506679,61464,303928,Montréal.AI,bis,Montreal_AI,"Montréal, Québec",en
Moteur économique de #Montréal en #IA // Supergrappe #IntelligenceArtificielle #MontréalIA // Filière de talents #AI #ArtificialIntelligence <U+2709><U+FE0F> info@montreal.ai,72871,421174,53787,301766,Montréal.IA,bis,Montreal_IA,"Montréal, Québec",en
"I’m a follower of Jesus, husband, father of three daughters, and author of 29 books, primarily focused on life-giving small groups (cell church).",3716,185190,9,178484,Joel Comiskey,,joelcomiskey,"Moreno Valley, California",en
Another coffee break?,28,100920,21,107069,Mark Kaliczynski™,,Kalimark,"Morris County, New Jersey",en
The random and unfiltered opinions expressed here do not necessarily represent the views of any other person or organization. :),156,167367,119,164533,Mark Kaliczynski™,,Kaliczynski,"Morris County, NJ",en
"Architecture, Art & Design, sustainability & eco news  https://t.co/95OxSZ21eY",10174,104112,80,62387,Archi Art,,artarchi,Moscow,en
"Chess Queen ® Alexandra Kosteniuk, 12th Women's World Chess Champion, Grandmaster, Educator, Model and Champion for Peace. My Russian account: @kosteniuk",7267,279524,22,170,Alexandra Kosteniuk,,chessqueen,"Moscow, Paris, Miami, World",en
News and updates from Google,73939,18545767,555,205,Google,bis,Google,"Mountain View, CA",en
"Interested in all things tech. Java, Scala, Spark, Cassandra, Client-Side MV*, Spring, JavaScript, PHP, Ruby, Python, GNU/Linux. Things that don't suck.",85050,422713,17,52029,Chris Latko,celeb,clatko,"Mountain View, CA",en
"Founder @moneysavingexp, @mmhpi &(ish) @itvmlshow. Money tips, bad puns, polls, athletics & MCFC musings. Mrs MSE's husband, Sapphire's daddy. My hero? Sheldon!",53322,461908,163,504,Martin Lewis,celeb,MartinSLewis,"MSE Towers, London",en
"Founded by @MartinSLewis dedicated to cutting your costs, finding deals, beating the system & fighting your corner. RTs aren't endorsements.",30426,249148,9655,4975,Money Saving Expert,,MoneySavingExp,"MSE Towers, London",en
"Student of Life | Founder & MD of $ 4.8 Billion, Ruchi Soya Industries Limited |     One of the fastest growing FMCG companies in India",2435,102052,643,4554,Dinesh Shahra,,ShahraDinesh,Mumbai,en
"New York Times bestseller. Rozabal Line, Chanakya's Chant, Krishna Key, Sialkot Saga. 13 Steps series. Private India series with James Patterson.",105524,135314,3842,665,Ashwin Sanghi,,ashwinsanghi,"Mumbai, India",en
"Innovations from Siemens that improve life. For business, for society and for each individual. This is Ingenuity for life. Imprint: https://t.co/rx3LpdDU9S",6515,120732,882,244,Siemens,,Siemens,Munich,en
CO2 Climate change Finance Green Energy Ecology Polls Renewable Solar Stocks Sustainability Wollwürste,3600,115907,79,13060,Josef Biesenberger,,jbiesenberger,Munich München Grafing Bavaria,en
"http://t.co/q7J5mVui - SocialMedia, Twittermarketing, Webdesign/-hosting, Typo3, Suchmachinenoptimierung; 
Impressum: http://t.co/bR5T8Otc",39365,193353,4,205107,Axel Heiter,foreign,heiternet,"Munich, Euskirchen, Germany",de
"President/CEO, Out Front on Main, Inc.® , Broadway World ® Best Actor and Best Director 2012-2015 #UniteBlue FB: https://t.co/7nd1o653GQ",44662,225912,11779,190579,"George W. Manus, Jr.",,OutFrontExec,"Murfreesboro, TN",en
"Communication Specialist. CEO, CHAMs Media. SOCIAL MEDIA PERSONALITY 2016 (SOMA AWARDS) https://t.co/bi9832adw7",13369,183717,2874,11324,AlexChamwada,,AlexChamwada,Nairobi,en
Official account of the United Nations Environment Programme (UN Environment). Follow our senior leadership: @ErikSolheim & @IbrahimThiaw,22438,644151,6667,3049,UN Environment,gov,UNEP,"Nairobi, Kenya",en
CBS | Associate Professor UoN | Technocrat | Advisor to the Better than Cash Alliance | Panelist at ICANN | Editor http://t.co/BivlLQgxtL,5635,183578,50,1398,Bitange Ndemo,,bantigito,"Nairobi, Kenya",en
"Tweets from the Small Business Trends family of publications and its CEO, Anita Campbell. Subscribe to our newsletter  (free): https://t.co/OQ2wFNDiP7",49314,141213,2203,30945,Anita Campbell,,smallbiztrends,"Naples, FL",en
World's #1 Renewable Energy News and Information Source,16082,107878,701,881,RenewableEnergyWorld,,REWorld,"Nashua, NH",en
"http://t.co/rKz3F3KC7k plays the best in independent country artists,playing the best country music, you've never heard",417577,121258,310,698774,CMRTODAY,bis,CMRTODAY,"Nashville, Tennessee",en
,2216,3144101,1,33,Al Gore,pol,algore,"Nashville, TN",en
It's The Official!,3893,307702,2857,237,Sheryl Crow,,SherylCrow,"Nashville, TN",en
"President & CEO of LifeWay. Husband to Nellie Jo. Dad to Sam, Art, Jess. Granddad to Canon, Maggie, Nathaniel, Will, Harper, Bren, Joshua, Collins, Joel, James.",28452,242179,211,235847,Thom Rainer,,ThomRainer,"Nashville, TN",en
Managing Britain’s rail infrastructure and key stations. We are here to assist 24/7 with infrastructure queries. Report rail safety issues to our 24/7 helpline.,123243,148469,2120,844,Network Rail,,networkrail,National Helpline 03457114141,en
"Your global economy, explained. Email us planetmoney@npr.org. Subscribe to our twice weekly podcast in iTunes.",10391,344105,274,404,NPR's Planet Money,,planetmoney,National Public Radio,en
An extraordinarily humble blogger for Sugar Pine Realty,102631,250649,522,238634,Mike C,,blogboy2,Near Yosemite,en
#dakar2018 | #Maxxis | #Maxxisdakar buggy #347 solopilot | #GTAcademy mentor |#dakar2017 #dakarrally #rally #racing | We own a #marketing team happens 2 race,11039,358228,135886,358078,Tim Coronel,,TimCoronel,Nederland,en
"News. Views. Analyses. Conversations. India’s No.1 digital news destination, world’s largest-selling English newspaper.",334831,10482051,254,500,Times of India,news,timesofindia,New Delhi,en
The latest from India and around the world.,96077,423078,2,117,Reuters India,news,ReutersIndia,New Delhi,en
"#DigitalMarketing Consultant, Blogger & #SocialMedia Evangelist! #SocialInfluencer, Traveler, Foodie, Love To Play Online Game.",2228,260257,132,241297,Virendra Verma,,VirendraSEO,"New Delhi, India",en
"Marketing Consultant, Author, Speaker and Trainer; Specialize in Branding and Perception Management. I also tweet at @IamPramit (https://t.co/XDU2oYC6iu)",19840,246704,356,203756,Pramit J. Nathan,,pramitjnathan,"New Delhi, India",en
National Tea Party movement co-founder and leader. Former @WhiteHouse speechwriter and @Heritage policy analyst. @UnivMiami grad. Phone/text: (609) 670-8142,20567,140961,5577,91877,Michael Johns,,michaeljohns,"New Jersey, USA",en
Download the BuzzFeed App: https://t.co/eynLNfMUJL,175301,5653185,2983,3117,BuzzFeed,bis,BuzzFeed,New York,en
"FORTUNE's official Twitter feed. Here's what we're hearing, seeing, reading and writing. Visit us at http://t.co/EZnUYxNm",142510,2244202,1176,451,Fortune,news,FortuneMagazine,New York,en
"The best #architecture in the world – for architects, by architects. Tweets by @DBasulto, @bq_bq_bq & @J_Taylor_Foster. More: @parq, @ArchDailyBR, @ArchDailyMX",62542,1352421,317,2905,ArchDaily,KEEP,ArchDaily,New York,en
"Breaking news. Exclusive interviews. Market-moving scoops. Watch Bloomberg #Daybreak LIVE on @Twitter, every weekday from 7:00 - 9:00 AM ET.",94549,445878,148,456,Bloomberg TV,news,BloombergTV,New York,en
"Professor at Stern School, NYU, Chairman of Roubini Macro Associates, blog at https://t.co/sbyW8MbXIk Author of Crisis Economics",12629,433668,8,434,Nouriel Roubini,celeb,Nouriel,New York,en
Fashion for the Home.,21402,406734,249,720,ELLE DECOR,KEEP,ELLEDECOR,New York,en
"19 Year Old Entrepreneur, Author, Blogger, Digital Marketing Expert, Speaker, Instructor @HootSuite Ambassador, Runner, Dog Lover, Red Sox fan",152594,357922,10670,354941,Marc Guberti,,MarcGuberti,New York,en
"Consumer Reports is an independent, nonprofit organization that works side by side with consumers to create a fairer, safer, and healthier world.",38940,262136,2456,710,Consumer Reports,,ConsumerReports,New York,en
President & CEO of the International Rescue Committee @theIRC. Personal account.,7425,244418,186,1934,David Miliband,,DMiliband,New York,en
The Nation magazine Editor and Publisher,78297,179667,89,41837,Katrina vandenHeuvel,,KatrinaNation,New York,en
"Global Economist, Author, Investor in the future.",2806,171914,31,50675,Dambisa Moyo,,dambisamoyo,New York,en
Artificial Intelligent Consultant and Futurist.  #ArtificialIntelligence #ai #bigdata #NLP,2923,162721,710,178901,Oliver Christie,,OliverChristie,New York,en
"Award Winning Journalist and Technologist Making Documentaries, VR, Drones, Immersion Storytelling, and Live Video | Tim@Tagg.ly",17097,146011,228,618,Tim Pool,,Timcast,New York,en
Digital Transformation Strategist & party tiger.  m@zaah.com,7391,140546,42,166,Maurice Freedman,,mauricefreedman,New York,en
"Jesse Bravo is the Premier #Celebrity #Psychic #Medium in #NYC who has been featured on MTV, NY Times ,Wall Street Journal,  ABC News ,  http://t.co/uZKe5feFqJ",3823,140509,2836,65419,Psychic In NYC Jesse,,newyorkpsychic,New York,en
"Around the world, we make grants that support the visionary people and organizations who work to challenge inequality in all its forms. Follow @DarrenWalker.",20955,135862,3170,2307,Ford Foundation,,FordFoundation,New York,en
"Causes, social justice issues, actionable news and inspiring stories.",36248,122261,30,239,HuffPost Impact,,HuffPostImpact,New York,en
"Media Savvy Psychotherapist PhD, Author of Your Ultimate Life Plan -- Winner of 12 Book Awards, Huff Post, Radio Show Host, Personal Development, Spirituality",101854,121708,2151,114994,Dr. Jennifer Howard,,DrJennifer,New York,en
"Climate and environment reporter @NYTimes. Kobe native, Brooklyn transplant. LSE grad, Pulitzer, etc. Whistleblower? Ping me on Peerio: tabuchi",26813,102697,19549,9986,Hiroko Tabuchi,,HirokoTabuchi,New York,en
Founder .PK Internet/Email+CreditCards Pakistan.Entrepreneur Investor Inventor Global TV/Radio Flying Boating UX Cloud IoT Strategy Consulting Mobile XASH Media,75823,101418,5111,12007,IMRAN™,,ImranAnwar,New York,en
"NYC/UN Correspondent: BBC: Persian Service.    Tweet in Persian & English. Iran, US politics & some Canada.  RT means I am endorsing U 4 President in 2020.",39287,111865,3424,2422,Bahman Kalbasi,,BahmanKalbasi,New York ,en
Things heard in the Goldman Sachs elevators (Wall Street) do not stay in the elevators. Email what you hear: elevatorgoldman@gmail.com,1408,815316,1142,4,GSElevator,bis,GSElevator,New York / London / Hong Kong,en
The first word in business news.,261082,4159960,333,1059,Bloomberg,news,business,New York and the World,en
"Where the conversation begins. Follow for breaking news, special reports, RTs of our journalists and more from https://t.co/YapuoqX0HS.",286711,38818043,15220,887,The New York Times,news,nytimes,New York City,en
Astrophysicist,5468,8293215,0,42,Neil deGrasse Tyson,celeb,neiltyson,New York City,en
"Nobel laureate. Op-Ed columnist, @nytopinion. Author, “The Return of Depression Economics,” “The Great Unraveling,” “The Age of Diminished Expectations” + more.",9928,3277219,19,22,Paul Krugman,celeb,paulkrugman,New York City,en
Everything you need to know to start and grow your business now.,189934,2454837,1194,1694,Inc.,bis,Inc,New York City,en
Dedicated to bringing Heart Based Leadership to organizations & individuals  |Coach |Consultant |Speaker |Columnist| WSJ Best Selling Author: The Leadership Gap,263264,1300550,1128,1206148,Lolly Daskal,celeb,LollyDaskal,New York City,en
Inspiring constructive dialogue between China and the US. Join the conversation!,50178,964278,36,416,China Daily,news,ChinaDailyUSA,New York City,en
A directory of prominent people organized by interests. Visit us at http://t.co/mjfvu03Kqi *an @aboutdotme company,561,689004,14,4,Wefollow,bis,wefollow,New York City,en
In the June Issue: Record Houses; Timber Construction in Portland; Restorations: Corbusierhaus and the Round House; Landscape Products.,9474,652078,230,8571,Architectural Record,KEEP,ArchRecord,New York City,en
"Breaking news, politics, entertainment and sports coverage in New York City and beyond | Order Home Delivery: https://t.co/ywog574e5s",198884,606037,1180,1367,New York Daily News,news,NYDailyNews,New York City,en
"Through strategic advocacy and legal action, we hold governments accountable to kids harmed in U.S. state systems. Links to outside sources don't represent CR.",2536,324485,83,208,Children's Rights,,ChildrensRights,New York City,en
See the whole picture with @ABC News. Facebook: https://t.co/ewMNZ54axm Instagram: https://t.co/pPlGmNHztz,176283,11325941,458,742,ABC News,news,ABC,New York City / Worldwide,en
News and announcements from the Federal Reserve Bank of New York,4354,125349,8,55,New York Fed,,NewYorkFed,"New York City, USA",en
Investment Relations to Public & Private Companies Since 1982  Over 5 Million Stock Investors in Our Database,314,116771,1167,53045,Internet Capital Inc,,ICAP11,New York NY,en
"Links, Ideas and Conversation from the TreeHugger hive mind, the latest in modern green.",41743,362684,642,6773,TreeHugger.com,,TreeHugger,"New York, Everywhere",en
Victor Samra (@vsamra3) and Cortney Cleveland (@cleveoutloud) at the easel. Please tweet us your questions or comments.,11055,4986779,4130,3383,Museum of Modern Art,bis,MuseumModernArt,"New York, New York",en
"@NYTimes Columnist/Editor & @SquawkCNBC Co-Anchor. Author, Too Big To Fail. Founder, @DealBook. Co-Creator, BILLIONS @Showtime. Co-Chair @NYPL's BLC. Proud Dad.",3588,759955,8694,2131,Andrew Ross Sorkin,celeb,andrewrsorkin,"New York, New York",en
Life begins at home.,26818,495566,1048,2391,House Beautiful,KEEP,HouseBeautiful,"New York, New York",en
"TooNiceStocks is not a licensed Financial Adviser or Brokerdealer. Our tweets are our own ideas, opinions & should never be taken seriously.",4964,165621,0,110275,TooNiceStocks,,TooNiceStocks,"New York, New York",en
"Environmental Defense Fund works with businesses, government & communities to create lasting solutions to the most serious enviro problems. #ActOnClimate",20278,160081,869,4293,EDF,,EnvDefenseFund,"New York, New York",en
"Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate.",9889,17225460,1170,761,Hillary Clinton,celeb,HillaryClinton,"New York, NY",en
Breaking news and features from the WSJ.,208527,14508115,1294,1074,Wall Street Journal,news,WSJ,"New York, NY",en
"Official Twitter account of http://t.co/iVGiXAHX, homepage for the world's business leaders.",163615,13343077,5335,5555,Forbes,news,Forbes,"New York, NY",en
Official tweets by https://t.co/XyGsGk67aO. Ideas worth spreading.,23193,10256149,3701,514,TED Talks,bis,TEDTalks,"New York, NY",en
Official account of #UnitedNations. Get latest information on the UN. Follow us on Instagram: unitednations. #GlobalGoals #StandUp4HumanRights,57747,9234089,819,1149,United Nations,gov,UN,"New York, NY",en
Your source for original reporting and trusted news.,136168,6008999,268,430,CBS News,news,CBSNews,"New York, NY",en
The leading source of global news and information for more than 75 years.    Facebook: https://t.co/oeDi7xACU7   Snapchat: https://t.co/suOkoNb0KE,117937,4977904,744,2971,NBC News,news,NBCNews,"New York, NY",en
"Stay relevant. News and analysis on politics, science, technology, and culture.",115001,3340774,2905,75,Newsweek,news,Newsweek,"New York, NY",en
Official Twitter feed for the Fast Company business media brand;  inspiring readers to think beyond traditional boundaries & create the future of business.,165177,2284409,5448,3969,Fast Company,bis,FastCompany,"New York, NY",en
"What you need to know. 

For corporate news from Business Insider and INSIDER follow @BI_Corporate.",404334,2069990,481,185,Business Insider,news,businessinsider,"New York, NY",en
"Mom of Charlotte & Aidan, Married to Marc, Advocate, Author, Teacher, @ClintonFdn & @ClintonHealth & @HealthierGen, New Yorker",8015,1840179,113,499,Chelsea Clinton,celeb,ChelseaClinton,"New York, NY",en
"The official Twitter of Bloomberg Businessweek. Covering the business world like no one else.

Subscribe here: https://t.co/OhdS2EhSbk",51333,1537490,455,450,Businessweek,news,BW,"New York, NY",en
The Wall Street Journal's Business editors share the latest breaking news and their insights on what matters most in business and finance.,64308,1457572,4,395,WSJ Business News,news,WSJbusiness,"New York, NY",en
Serving as a trusted partner to our clients by responsibly providing financial services that enable growth & economic progress. Customer service: @AskCiti,14334,896954,1775,302,Citi,bis,Citi,"New York, NY",en
News from #TED and its global community of passionate thinkers. Follow @TEDTalks for daily talks and ideas.,12888,894131,1317,17677,TED News,news,TEDNews,"New York, NY",en
"Financial, tech, media and other business news from The New York Times. Banner photo by Jason Henry.",158234,786405,897,384,NYT Business,news,nytimesbusiness,"New York, NY",en
In-depth insight and analysis on international affairs and U.S. foreign policy since 1922.,30567,609294,167,2187,Foreign Affairs,news,ForeignAffairs,"New York, NY",en
1987–2017: Celebrating the Power of 30 Years Supporting Social Innovation,13742,489037,5367,9932,Echoing Green,celeb,echoinggreen,"New York, NY",en
"Latest news on energy, environment, animals and more.",61735,439756,1184,1139,HuffPost Green,news,HuffPostGreen,"New York, NY",en
For animal people.,45792,397856,13121,3209,The Dodo,bis,dodo,"New York, NY",en
Breaking news from The Wall Street Journal.,7730,384928,0,43,WSJ Breaking News,,WSJbreakingnews,"New York, NY",en
The Council on Foreign Relations is a resource for foreign policy news and analysis. CFR takes no institutional positions on policy. Follows <U+2260> endorsements.,41929,343447,39,12460,CFR,,CFR_org,"New York, NY",en
"American Management Association is the world leader in management development, advancing your skills to boost your business success: http://t.co/AtDEzFrHrH",48949,287716,540,115501,American Management,,AMAnet,"New York, NY",en
,11516,282779,1250,147,Dan Rather,,DanRather,"New York, NY",en
"Official Page of Chef Chris Nirschel (Culinary Bad Boy) NYC executive Chef, featured on VH1, CNN, NBC, Fox, Dr. OZ Better TV, Food Network. CEO of @nycatering.",4435,234077,339,5685,Culinary Bad Boy,,CulinaryBadBoy,"New York, NY",en
"New York Times bestselling author, serial entrepreneur, Fortune 500 consultant, TV personality, keynote speaker, career and workplace expert & startup advisor.",27608,213259,51,130889,Dan Schawbel,,DanSchawbel,"New York, NY",en
"Fast Company's Ideas section: World-changing ideas and innovation. We talk about the environment, energy, tech, food, health, transportation, and more.",51700,209238,631,864,Fast Co. Ideas,,FastCoIdeas,"New York, NY",en
The official twitter feed of IBM Watson. Tweets by Mary Reisert and Jeremy Hodge. Follows the IBM Social Computing Guidelines.,10348,188606,3634,1662,IBM Watson,,IBMWatson,"New York, NY",en
Architecture & Design At All Scales,11195,187573,1453,2092,Metropolis Magazine,,MetropolisMag,"New York, NY",en
"Inside the world of luxury real estate, via The Wall Street Journal. Tweets by @Leigh_KC",10123,179543,205,217,WSJ Mansion,,WSJRealEstate,"New York, NY",en
"UN Publications is the source for over 5,000 titles produced by the United Nations and its key agencies.",1591,170657,107,958,UN Publications,,unpublications,"New York, NY",en
"Residential real estate news from The New York Times, covering the five boroughs and beyond.",16660,116061,14,137,NYT Real Estate,,nytrealestate,"New York, NY",en
CA Technologies helps customers succeed in a future where every business — from apparel to energy — is being rewritten by software.,25373,114943,9159,16293,CA Technologies,,CAinc,"New York, NY",en
Say it together and be heard. The first crowdspeaking platform for amplifying messages that matter.,3978,109872,948,299,Thunderclap,,ThunderclapIt,"New York, NY",en
"New York Yoga, Spa & Wellness Guide For Personal Growth, Stress Management, Diet, Nutrition & Well-being. Like us on FB: https://t.co/Ac7TuGbtxP",60200,100716,2,78644,NYWellnessGuide,bis,NYWellnessGuide,"New York, NY",en
"Anchor, Global Markets Editor Mornings with Maria @MorningsMaria 6-9 AM ET M-F on @FoxBusiness Network & @SundayFutures 10:00 AM ET Sundays @FoxNews.Channel",19272,332981,7492,1207,Maria Bartiromo,,MariaBartiromo,"New York, NY ",en
"Architizer is an online destination that is revolutionizing architecture with its vast building database, daily content, Source marketplace & A+Awards.",33561,906673,4326,2275,Architizer,KEEP,Architizer,"New York, NY // Global",en
"View the latest news and breaking news U.S.A,World, Sports Business Entertainment Arts e-commerce B2B EU-ASIA/

https://t.co/o8ZTZ02510
https://t.co/YgOR8WxdFn",190020,527026,232752,343310,NEWS.U.S.A.@cwn24 +e,news,EnergyDrinkRen,"New York, USA",en
Official Twitter account of the Office of the Spokesperson for United Nations Secretary-General @antonioguterres,15344,444530,120,1023,UN Spokesperson,gov,UN_Spokesperson,"New York, USA",en
